Timestamp,Frame,Zone,Density,Status,Total_People,Alert
2025-08-23T11:42:03.506616,5,Zone 1,0.009,normal,9,
2025-08-23T11:42:03.506616,5,Zone 2,0.009,normal,9,
2025-08-23T11:42:03.506616,5,Zone 3,0.009,normal,9,
2025-08-23T11:42:04.031605,10,Zone 1,0.017,normal,17,
2025-08-23T11:42:04.031605,10,Zone 2,0.017,normal,17,
2025-08-23T11:42:04.031605,10,Zone 3,0.017,normal,17,
2025-08-23T11:42:04.443164,15,Zone 1,0.02,normal,20,
2025-08-23T11:42:04.443164,15,Zone 2,0.02,normal,20,
2025-08-23T11:42:04.443164,15,Zone 3,0.02,normal,20,
2025-08-23T11:42:04.880993,20,Zone 1,0.013,normal,13,
2025-08-23T11:42:04.880993,20,Zone 2,0.013,normal,13,
2025-08-23T11:42:04.880993,20,Zone 3,0.013,normal,13,
2025-08-23T11:42:05.355453,25,Zone 1,0.015,normal,15,
2025-08-23T11:42:05.355453,25,Zone 2,0.015,normal,15,
2025-08-23T11:42:05.355453,25,Zone 3,0.015,normal,15,
2025-08-23T11:42:05.784559,30,Zone 1,0.01,normal,10,
2025-08-23T11:42:05.784559,30,Zone 2,0.01,normal,10,
2025-08-23T11:42:05.784559,30,Zone 3,0.01,normal,10,
2025-08-23T11:42:06.189045,35,Zone 1,0.016,normal,16,
2025-08-23T11:42:06.189045,35,Zone 2,0.016,normal,16,
2025-08-23T11:42:06.189045,35,Zone 3,0.016,normal,16,
2025-08-23T11:42:06.604569,40,Zone 1,0.017,normal,17,
2025-08-23T11:42:06.604569,40,Zone 2,0.017,normal,17,
2025-08-23T11:42:06.604569,40,Zone 3,0.017,normal,17,
2025-08-23T11:42:07.031781,45,Zone 1,0.015,normal,15,
2025-08-23T11:42:07.031781,45,Zone 2,0.015,normal,15,
2025-08-23T11:42:07.031781,45,Zone 3,0.015,normal,15,
2025-08-23T11:42:07.464215,50,Zone 1,0.018,normal,18,
2025-08-23T11:42:07.464215,50,Zone 2,0.018,normal,18,
2025-08-23T11:42:07.464215,50,Zone 3,0.018,normal,18,
2025-08-23T11:42:07.915194,55,Zone 1,0.011,normal,11,
2025-08-23T11:42:07.915194,55,Zone 2,0.011,normal,11,
2025-08-23T11:42:07.915194,55,Zone 3,0.011,normal,11,
2025-08-23T11:42:08.290007,60,Zone 1,0.013,normal,13,
2025-08-23T11:42:08.290007,60,Zone 2,0.013,normal,13,
2025-08-23T11:42:08.290007,60,Zone 3,0.013,normal,13,
2025-08-23T11:42:08.670399,65,Zone 1,0.009,normal,9,
2025-08-23T11:42:08.670399,65,Zone 2,0.009,normal,9,
2025-08-23T11:42:08.670399,65,Zone 3,0.009,normal,9,
2025-08-23T11:42:09.024704,70,Zone 1,0.016,normal,16,
2025-08-23T11:42:09.024704,70,Zone 2,0.016,normal,16,
2025-08-23T11:42:09.024704,70,Zone 3,0.016,normal,16,
2025-08-23T11:42:09.391010,75,Zone 1,0.014,normal,14,
2025-08-23T11:42:09.391010,75,Zone 2,0.014,normal,14,
2025-08-23T11:42:09.391010,75,Zone 3,0.014,normal,14,
2025-08-23T11:42:09.756469,80,Zone 1,0.015,normal,15,
2025-08-23T11:42:09.756469,80,Zone 2,0.015,normal,15,
2025-08-23T11:42:09.756469,80,Zone 3,0.015,normal,15,
2025-08-23T11:42:10.209167,85,Zone 1,0.01,normal,10,
2025-08-23T11:42:10.209167,85,Zone 2,0.01,normal,10,
2025-08-23T11:42:10.209167,85,Zone 3,0.01,normal,10,
2025-08-23T11:42:10.630038,90,Zone 1,0.009,normal,9,
2025-08-23T11:42:10.630038,90,Zone 2,0.009,normal,9,
2025-08-23T11:42:10.630038,90,Zone 3,0.009,normal,9,
2025-08-23T11:42:11.106543,95,Zone 1,0.012,normal,12,
2025-08-23T11:42:11.106543,95,Zone 2,0.012,normal,12,
2025-08-23T11:42:11.106543,95,Zone 3,0.012,normal,12,
2025-08-23T11:42:11.526186,100,Zone 1,0.01,normal,10,
2025-08-23T11:42:11.526186,100,Zone 2,0.01,normal,10,
2025-08-23T11:42:11.526186,100,Zone 3,0.01,normal,10,
2025-08-23T11:42:11.950485,105,Zone 1,0.013,normal,13,
2025-08-23T11:42:11.950485,105,Zone 2,0.013,normal,13,
2025-08-23T11:42:11.950485,105,Zone 3,0.013,normal,13,
2025-08-23T11:42:12.383229,110,Zone 1,0.011,normal,11,
2025-08-23T11:42:12.383229,110,Zone 2,0.011,normal,11,
2025-08-23T11:42:12.383229,110,Zone 3,0.011,normal,11,
2025-08-23T11:42:12.827924,115,Zone 1,0.017,normal,17,
2025-08-23T11:42:12.827924,115,Zone 2,0.017,normal,17,
2025-08-23T11:42:12.827924,115,Zone 3,0.017,normal,17,
2025-08-23T11:42:13.276632,120,Zone 1,0.015,normal,15,
2025-08-23T11:42:13.276632,120,Zone 2,0.015,normal,15,
2025-08-23T11:42:13.276632,120,Zone 3,0.015,normal,15,
