frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T08:01:19.607137,346,0.00016713581243414937,0.00010161714421378242,0.00026477972666422525,0.00022095008028878105,6.250380641884273e-05,0.0001571807927555508,0.0002077556484275394,8.402324385113186e-05,0.00022387681735886467,0.00018153505192862617,0,0,0
2,2025-08-23T08:01:25.265214,342,0.0001653495357360369,0.00011578573120964899,0.00026963950859175786,0.00021200223101509942,6.598205202155643e-05,0.00016001833809746636,0.0002069191469086541,7.868646747536129e-05,0.0002069200078646342,0.00017219233844015334,0,0,0
3,2025-08-23T08:01:30.859845,347,0.00016734991406584964,0.0001127851340505812,0.00026186486085255943,0.00022689903775850932,6.860683775610394e-05,0.00015780187315411038,0.0001944649385081397,9.026072091526456e-05,0.00022761964135699803,0.0001658461822403802,0,0,0
4,2025-08-23T08:01:36.419043,322,0.00015560817663316375,9.430525203545888e-05,0.0002619342009226481,0.00018248632550239564,6.359616915384929e-05,0.00016523035036193,0.00019040134218004014,8.846994903352525e-05,0.00021041654878192477,0.00014363345172670153,0,0,0
5,2025-08-23T08:01:42.011183,331,0.0001599484125589147,0.00010126121342182159,0.0002396113673845927,0.00021535966131422255,6.31595030426979e-05,0.00014802798628807068,0.00020234290096494885,8.017629384994507e-05,0.00022828694846895007,0.0001613098382949829,0,0,0
6,2025-08-23T08:01:47.566108,326,0.00015750856587180387,8.766644530826145e-05,0.00024383381009101867,0.00021662218703163996,6.373605794376798e-05,0.00017358591159184774,0.00018989240129788716,8.149705827236176e-05,0.00021777298715379504,0.0001429702341556549,0,0,0
7,2025-08-23T08:01:53.145367,325,0.00015702567074769806,8.30679304069943e-05,0.00022953261931737265,0.0002351189156373342,6.392210721969604e-05,0.0001619108517964681,0.0001948885785208808,8.841866420374976e-05,0.00020849999454286363,0.00014787137508392333,0,0,0
8,2025-08-23T08:01:58.740458,325,0.00015678697300178032,9.23842191696167e-05,0.000242855879995558,0.00020331922504636976,6.58519027961625e-05,0.00015911923514472112,0.00019269062413109674,8.815556764602662e-05,0.0002198476923836602,0.00014685841070281134,0,0,0
9,2025-08-23T08:02:04.313914,313,0.00015118183315168194,8.173070847988128e-05,0.0002390420436859131,0.00019784895910157098,6.383194277683894e-05,0.00013913316859139337,0.00017796688609653048,7.989678117964003e-05,0.00022927024298244052,0.0001519157654709286,0,0,0
10,2025-08-23T08:02:09.973703,325,0.00015695623777530813,9.150104390250312e-05,0.00022829025983810424,0.00022706344723701476,6.206201182471382e-05,0.00015619676974084641,0.00019085889061292013,8.542738027042812e-05,0.00022406286663479276,0.00014714346991644966,0,0,0
11,2025-08-23T08:02:15.520337,339,0.00016389987810894294,8.852440449926588e-05,0.00025083354777759976,0.00023453733987278407,6.312980420059628e-05,0.00016018455227216085,0.00019905908240212334,9.107722176445854e-05,0.00023869408501519097,0.00014905886517630683,0,0,0
12,2025-08-23T08:02:21.107987,330,0.00015934047783598487,9.322005841467115e-05,0.0002459570931063758,0.00021730403105417887,5.9189572930336e-05,0.0001555248432689243,0.00018909229172600641,8.811498681704204e-05,0.0002338940567440457,0.00015176736646228367,0,0,0
13,2025-08-23T08:02:26.674063,332,0.00016028351069968425,8.982569807105594e-05,0.0002526825997564528,0.00020340912871890597,6.875451240274641e-05,0.00014831470118628607,0.00018862739205360412,9.035160144170125e-05,0.00024358585476875306,0.00015700010789765253,0,0,0
14,2025-08-23T08:02:32.252059,332,0.00016029608194474825,9.162240558200412e-05,0.00025348693132400514,0.00019871743188963997,7.031322353416019e-05,0.00015138420793745253,0.00020843583676550124,8.286525805791218e-05,0.00023949167794651456,0.00014634776446554397,0,0,0
15,2025-08-23T08:02:37.900032,340,0.0001640883051318887,9.569900731245677e-05,0.00025641628437572054,0.00021118443873193528,6.921209394931793e-05,0.0001580888695187039,0.00020574844545788234,8.569328321350946e-05,0.0002450207206938002,0.00014973160293367175,0,0,0
16,2025-08-23T08:02:43.454823,320,0.00015474386237285755,8.733961317274306e-05,0.00023404339949289959,0.0001853574315706889,6.341541806856791e-05,0.0001519493924246894,0.0001944067743089464,8.75366727511088e-05,0.00023864772584703233,0.00014999833371904161,0,0,0
17,2025-08-23T08:02:49.165464,334,0.00016154384171521223,8.714915977583991e-05,0.0002622791131337484,0.00021621714035669962,7.294429673088922e-05,0.00014554972449938456,0.0001812605063120524,8.485188086827596e-05,0.00024757069018152024,0.0001560720635784997,0,0,0
18,2025-08-23T08:02:54.771516,334,0.00016124567499867188,8.402436971664428e-05,0.00025639091928799946,0.0002270734641287062,7.359218266275194e-05,0.0001575643155309889,0.00018430491288503012,9.229093790054321e-05,0.0002352177103360494,0.00014075226253933376,0,0,0
19,2025-08-23T08:03:00.318554,333,0.00016060035307834174,9.51812830236223e-05,0.00025130664308865863,0.00023697649439175924,6.816360271639294e-05,0.00015315963162316215,0.0001814061568842994,8.26756325032976e-05,0.0002299713095029195,0.00014656242397096422,0,0,0
20,2025-08-23T08:03:05.883492,335,0.00016185498256006357,9.118395547072093e-05,0.000254102713531918,0.00022601596183247037,6.814259621832106e-05,0.00016709294584062366,0.00019003376364707948,9.199607703420851e-05,0.00022553713785277473,0.00014258969161245558,0,0,0
21,2025-08-23T08:03:11.173916,341,0.00016491740252132768,9.224496781826019e-05,0.000256891581747267,0.00024257239368226792,6.548352953460481e-05,0.00017231237557199265,0.0001833902464972602,8.905942241350809e-05,0.00023456629779603747,0.00014773580763075087,0,0,0
22,2025-08-23T08:03:15.611342,327,0.00015802692529963858,9.874800013171302e-05,0.00023282431893878512,0.00022786407007111442,6.517653250032002e-05,0.00015830948948860167,0.00017395888765652973,9.212699201371934e-05,0.00022997077968385486,0.00014326325721210903,0,0,0
23,2025-08-23T08:03:19.975738,332,0.00016042986493787647,9.124843610657586e-05,0.00022199943661689757,0.00026453086071544224,6.445967488818699e-05,0.00015902138418621487,0.00018352054887347752,8.340967198212942e-05,0.00023459315299987794,0.0001410856180720859,0,0,0
24,2025-08-23T08:03:24.259923,329,0.00015905448040108623,9.411974085701836e-05,0.00023777362373140123,0.00024227294656965466,7.099981109301249e-05,0.00016164652175373501,0.00016345663203133477,7.743001812034182e-05,0.00024373928705851238,0.00014005174239476522,0,0,0
25,2025-08-23T08:03:28.642752,328,0.00015845702294214274,7.950234744283888e-05,0.00025246010886298284,0.00024369127220577665,7.105550832218594e-05,0.00015589396158854167,0.0001716874208715227,7.714682155185276e-05,0.0002383039395014445,0.00013637182613213857,0,0,0
26,2025-08-23T08:03:33.392724,322,0.00015537478673605272,9.139458338419596e-05,0.00023613828751775954,0.00023250500361124676,7.784338461028205e-05,0.00015852812263700698,0.0001621460583474901,8.072864678170947e-05,0.0002212436662779914,0.0001378453274567922,0,0,0
27,2025-08-23T08:03:38.425483,332,0.00016020863972328328,9.993539088302188e-05,0.000241102096107271,0.00024505787425571017,7.885959413316515e-05,0.00015972597731484306,0.00016971452368630304,8.5988806353675e-05,0.00022089027696185642,0.00014060321781370375,0,0,0
28,2025-08-23T08:03:43.333697,320,0.00015436954060454427,9.80609655380249e-05,0.00023827873998218113,0.00022911386357413397,7.883237467871772e-05,0.0001441698604159885,0.00017311384280522664,7.529963221814898e-05,0.00021631598472595214,0.00013614060150252447,0,0,0
29,2025-08-23T08:03:48.192940,335,0.00016164052081696784,9.354017674922943e-05,0.00023492554823557535,0.0002737348609500461,7.722732921441396e-05,0.0001519815789328681,0.00016662483414014182,7.913324568006728e-05,0.0002343020174238417,0.00014329509602652656,0,0,0
30,2025-08-23T08:03:53.274682,321,0.00015482836115507435,9.740923013952044e-05,0.0002204860746860504,0.0002399941451019711,7.030468848016526e-05,0.00015352058741781446,0.00016299625237782797,7.559934424029456e-05,0.00023522322376569112,0.00013792170418633356,0,0,0
31,2025-08-23T08:03:58.367003,324,0.00015653901629977755,0.00010060309535927242,0.00024837666087680393,0.00025439398156272043,7.124170660972595e-05,0.00013964553674062092,0.00015921680463684928,7.317043840885163e-05,0.00022489574220445422,0.00013730718029869926,0,0,0
32,2025-08-23T08:04:03.679420,324,0.00015648498211377933,9.182021021842956e-05,0.000231826470957862,0.00025631316834025914,7.659723361333211e-05,0.00015113062328762477,0.00016204151842329236,7.727617190943823e-05,0.0002286429868804084,0.00013271645539336734,0,0,0
