Timestamp,Frame,Zone,Density,Status,Total_People,Alert
2025-08-25T14:54:49.111732,5,Zone 1,0.017,normal,17,
2025-08-25T14:54:49.111732,5,Zone 2,0.017,normal,17,
2025-08-25T14:54:49.111732,5,Zone 3,0.017,normal,17,
2025-08-25T14:54:49.647880,10,Zone 1,0.014,normal,14,
2025-08-25T14:54:49.647880,10,Zone 2,0.014,normal,14,
2025-08-25T14:54:49.647880,10,Zone 3,0.014,normal,14,
2025-08-25T14:54:50.068205,15,Zone 1,0.015,normal,15,
2025-08-25T14:54:50.068205,15,Zone 2,0.015,normal,15,
2025-08-25T14:54:50.068205,15,Zone 3,0.015,normal,15,
2025-08-25T14:54:50.508874,20,Zone 1,0.015,normal,15,
2025-08-25T14:54:50.508874,20,Zone 2,0.015,normal,15,
2025-08-25T14:54:50.508874,20,Zone 3,0.015,normal,15,
2025-08-25T14:54:51.016974,25,Zone 1,0.014,normal,14,
2025-08-25T14:54:51.016974,25,Zone 2,0.014,normal,14,
2025-08-25T14:54:51.016974,25,Zone 3,0.014,normal,14,
2025-08-25T14:54:51.425783,30,Zone 1,0.013,normal,13,
2025-08-25T14:54:51.425783,30,Zone 2,0.013,normal,13,
2025-08-25T14:54:51.425783,30,Zone 3,0.013,normal,13,
2025-08-25T14:54:51.838265,35,Zone 1,0.015,normal,15,
2025-08-25T14:54:51.838265,35,Zone 2,0.015,normal,15,
2025-08-25T14:54:51.838265,35,Zone 3,0.015,normal,15,
2025-08-25T14:54:52.273853,40,Zone 1,0.013,normal,13,
2025-08-25T14:54:52.273853,40,Zone 2,0.013,normal,13,
2025-08-25T14:54:52.273853,40,Zone 3,0.013,normal,13,
2025-08-25T14:54:52.714475,45,Zone 1,0.013,normal,13,
2025-08-25T14:54:52.714475,45,Zone 2,0.013,normal,13,
2025-08-25T14:54:52.714475,45,Zone 3,0.013,normal,13,
2025-08-25T14:54:53.151349,50,Zone 1,0.015,normal,15,
2025-08-25T14:54:53.151349,50,Zone 2,0.015,normal,15,
2025-08-25T14:54:53.151349,50,Zone 3,0.015,normal,15,
2025-08-25T14:54:53.561721,55,Zone 1,0.015,normal,15,
2025-08-25T14:54:53.561721,55,Zone 2,0.015,normal,15,
2025-08-25T14:54:53.561721,55,Zone 3,0.015,normal,15,
2025-08-25T14:54:53.970629,60,Zone 1,0.017,normal,17,
2025-08-25T14:54:53.970629,60,Zone 2,0.017,normal,17,
2025-08-25T14:54:53.970629,60,Zone 3,0.017,normal,17,
2025-08-25T14:54:54.320808,65,Zone 1,0.016,normal,16,
2025-08-25T14:54:54.320808,65,Zone 2,0.016,normal,16,
2025-08-25T14:54:54.320808,65,Zone 3,0.016,normal,16,
2025-08-25T14:54:54.687528,70,Zone 1,0.016,normal,16,
2025-08-25T14:54:54.687528,70,Zone 2,0.016,normal,16,
2025-08-25T14:54:54.687528,70,Zone 3,0.016,normal,16,
2025-08-25T14:54:55.159213,75,Zone 1,0.015,normal,15,
2025-08-25T14:54:55.159213,75,Zone 2,0.015,normal,15,
2025-08-25T14:54:55.159213,75,Zone 3,0.015,normal,15,
2025-08-25T14:54:55.539498,80,Zone 1,0.013,normal,13,
