Timestamp,Frame,Zone,Density,Status,Total_People,Alert
2025-08-23T09:23:29.675540,20,Zone 1,0.015,normal,15,
2025-08-23T09:23:29.675540,20,Zone 2,0.015,normal,15,
2025-08-23T09:23:29.675540,20,Zone 3,0.015,normal,15,
2025-08-23T09:23:29.987323,40,Zone 1,0.013,normal,13,
2025-08-23T09:23:29.987323,40,Zone 2,0.013,normal,13,
2025-08-23T09:23:29.987323,40,Zone 3,0.013,normal,13,
2025-08-23T09:23:30.291495,60,Zone 1,0.017,normal,17,
2025-08-23T09:23:30.291495,60,Zone 2,0.017,normal,17,
2025-08-23T09:23:30.291495,60,Zone 3,0.017,normal,17,
2025-08-23T09:23:30.586604,80,Zone 1,0.013,normal,13,
2025-08-23T09:23:30.586604,80,Zone 2,0.013,normal,13,
2025-08-23T09:23:30.586604,80,Zone 3,0.013,normal,13,
2025-08-23T09:23:30.879527,100,Zone 1,0.014,normal,14,
2025-08-23T09:23:30.879527,100,Zone 2,0.014,normal,14,
2025-08-23T09:23:30.879527,100,Zone 3,0.014,normal,14,
2025-08-23T09:23:31.172601,120,Zone 1,0.015,normal,15,
2025-08-23T09:23:31.172601,120,Zone 2,0.015,normal,15,
2025-08-23T09:23:31.172601,120,Zone 3,0.015,normal,15,
2025-08-23T09:23:31.540528,140,Zone 1,0.019,normal,19,
2025-08-23T09:23:31.540528,140,Zone 2,0.019,normal,19,
2025-08-23T09:23:31.540528,140,Zone 3,0.019,normal,19,
2025-08-23T09:23:31.862986,160,Zone 1,0.015,normal,15,
2025-08-23T09:23:31.862986,160,Zone 2,0.015,normal,15,
2025-08-23T09:23:31.862986,160,Zone 3,0.015,normal,15,
2025-08-23T09:23:32.178086,180,Zone 1,0.014,normal,14,
2025-08-23T09:23:32.178086,180,Zone 2,0.014,normal,14,
2025-08-23T09:23:32.178086,180,Zone 3,0.014,normal,14,
2025-08-23T09:23:32.540605,200,Zone 1,0.013,normal,13,
2025-08-23T09:23:32.540605,200,Zone 2,0.013,normal,13,
2025-08-23T09:23:32.540605,200,Zone 3,0.013,normal,13,
2025-08-23T09:23:32.907499,220,Zone 1,0.011,normal,11,
2025-08-23T09:23:32.907499,220,Zone 2,0.011,normal,11,
2025-08-23T09:23:32.907499,220,Zone 3,0.011,normal,11,
2025-08-23T09:23:33.270643,240,Zone 1,0.01,normal,10,
2025-08-23T09:23:33.270643,240,Zone 2,0.01,normal,10,
2025-08-23T09:23:33.270643,240,Zone 3,0.01,normal,10,
2025-08-23T09:23:33.652120,260,Zone 1,0.011,normal,11,
2025-08-23T09:23:33.652120,260,Zone 2,0.011,normal,11,
2025-08-23T09:23:33.652120,260,Zone 3,0.011,normal,11,
2025-08-23T09:23:34.028075,280,Zone 1,0.013,normal,13,
2025-08-23T09:23:34.028075,280,Zone 2,0.013,normal,13,
2025-08-23T09:23:34.028075,280,Zone 3,0.013,normal,13,
2025-08-23T09:23:34.413579,300,Zone 1,0.012,normal,12,
2025-08-23T09:23:34.413579,300,Zone 2,0.012,normal,12,
2025-08-23T09:23:34.413579,300,Zone 3,0.012,normal,12,
2025-08-23T09:23:34.792877,320,Zone 1,0.014,normal,14,
2025-08-23T09:23:34.792877,320,Zone 2,0.014,normal,14,
2025-08-23T09:23:34.792877,320,Zone 3,0.014,normal,14,
2025-08-23T09:23:35.183838,340,Zone 1,0.013,normal,13,
2025-08-23T09:23:35.183838,340,Zone 2,0.013,normal,13,
2025-08-23T09:23:35.183838,340,Zone 3,0.013,normal,13,
2025-08-23T09:23:35.523668,360,Zone 1,0.013,normal,13,
2025-08-23T09:23:35.523668,360,Zone 2,0.013,normal,13,
2025-08-23T09:23:35.523668,360,Zone 3,0.013,normal,13,
2025-08-23T09:23:35.851640,380,Zone 1,0.012,normal,12,
2025-08-23T09:23:35.851640,380,Zone 2,0.012,normal,12,
2025-08-23T09:23:35.851640,380,Zone 3,0.012,normal,12,
2025-08-23T09:23:36.172190,400,Zone 1,0.014,normal,14,
2025-08-23T09:23:36.172190,400,Zone 2,0.014,normal,14,
2025-08-23T09:23:36.172190,400,Zone 3,0.014,normal,14,
2025-08-23T09:23:36.507828,420,Zone 1,0.012,normal,12,
2025-08-23T09:23:36.507828,420,Zone 2,0.012,normal,12,
2025-08-23T09:23:36.507828,420,Zone 3,0.012,normal,12,
2025-08-23T09:23:36.847760,440,Zone 1,0.009,normal,9,
2025-08-23T09:23:36.847760,440,Zone 2,0.009,normal,9,
2025-08-23T09:23:36.847760,440,Zone 3,0.009,normal,9,
2025-08-23T09:23:37.226285,460,Zone 1,0.008,normal,8,
2025-08-23T09:23:37.226285,460,Zone 2,0.008,normal,8,
2025-08-23T09:23:37.226285,460,Zone 3,0.008,normal,8,
